stage,region,school,team,games,wins,win_rate,base_damage_total,base_damage_per_game,base_17_share,base_42_share,base_dart_share,base_damage_game_rate,median_first_base_hit_s,base_damage_received_per_game,outpost_damage_per_game,shots_per_game,hero_shots_per_game,infantry_shots_per_game,sentry_shots_per_game,enemy_half_rate,deep_rate,early_enemy_half_rate,mean_x,distance_per_game_m,sentry_mean_x,hero_mean_x,engineer_mean_x,terrain_status,terrain_game_rate,terrain_games,terrain_runs,terrain_seconds_per_game,terrain_roles,style
全国赛直通,北部赛区,哈尔滨工业大学（威海）,HERO,21,14,0.6666666666666666,29132.0,1387.2380952380952,0.5795002059590828,0.3475559522174928,0.07294384182342441,0.7619047619047619,181.0,759.9047619047619,1500.0,1607.2857142857142,20.761904761904763,465.7142857142857,405.7142857142857,0.23280148992953556,0.09267899314555614,0.12275151405586188,10.446971103815079,892.970660803771,7.595616897884919,4.890657224131785,13.190669350134181,中央高地已观察,1.0,21,561,182.57142857142858,工程、步兵3、步兵4,多兵种深压、重前哨压制、17mm持续磨基
全国赛直通,北部赛区,西北工业大学,WMJ,21,11,0.5238095238095238,8402.0,400.0952380952381,0.29421566293739587,0.6700785527255415,0.035705784337062604,0.6190476190476191,251.0,786.5714285714286,1450.142857142857,1342.4761904761904,15.857142857142858,359.0,493.42857142857144,0.08021422314247033,0.016106554113243608,0.04658270050009261,7.737810324918407,833.8956816877513,7.288797544617494,3.697749573718311,8.199711781445611,中央高地已观察,0.9523809523809523,20,415,148.47619047619048,工程、步兵3、步兵4,稳守反击
全国赛直通,北部赛区,北京理工大学,追梦,12,9,0.75,4675.0,389.5833333333333,0.5304812834224599,0.46951871657754013,0.0,0.5833333333333334,322.0,174.16666666666666,1500.0,1147.6666666666667,38.166666666666664,327.6666666666667,175.25,0.42554322546348594,0.0658847763971028,0.366306027820711,13.262576184463935,993.8059419178994,15.54727580709445,11.19020068231985,11.437317864967142,中央高地已观察,1.0,12,518,458.5,英雄、工程、步兵3、步兵4、哨兵,多兵种深压、哨兵前压、重前哨压制、高地转点活跃
全国赛直通,北部赛区,复旦大学,星云EGA,17,9,0.5294117647058824,19300.0,1135.2941176470588,0.9248704663212435,0.06994818652849741,0.0051813471502590676,0.4117647058823529,282.0,652.2941176470588,1337.6470588235295,1187.2941176470588,27.941176470588236,429.6470588235294,267.0,0.331921816311395,0.062298141103854156,0.31849048202159636,11.753401301466555,1014.8977088341877,12.599486397608366,10.041930448222589,9.753937253798519,中央高地已观察,1.0,17,670,311.94117647058823,英雄、工程、步兵3、步兵4、哨兵,多兵种深压、哨兵前压、高地转点活跃、17mm持续磨基
全国赛直通,北部赛区,同济大学,SuperPower,10,8,0.8,15945.0,1594.5,0.19974913766070868,0.8002508623392913,0.0,1.0,251.0,240.0,1500.0,1445.3,43.6,466.2,474.4,0.1768797615104339,0.02186154355746936,0.08587417985333848,9.434442530639307,983.1468645198347,7.62447575829951,5.743618377088288,10.305028825366332,中央高地已观察,1.0,10,290,247.1,英雄、工程、步兵3、步兵4,重前哨压制、英雄42mm炮击
全国赛直通,北部赛区,西安交通大学,笃行,11,9,0.8181818181818182,19182.0,1743.8181818181818,0.9296215201751642,0.020852882911062454,0.049525596913773326,0.8181818181818182,332.0,375.0,1383.6363636363637,740.0,18.818181818181817,602.4545454545455,7.7272727272727275,0.25355220875759804,0.09802934685818267,0.16600648181490818,11.898998296488436,1049.9167668367318,12.036549389567117,9.619112657677276,9.61592461873639,中央高地已观察,1.0,11,440,351.45454545454544,英雄、工程、步兵3、步兵4,多兵种深压、哨兵前压、高地转点活跃、17mm持续磨基
全国赛直通,北部赛区,大连理工大学,凌BUG,16,10,0.625,6815.0,425.9375,0.0748349229640499,0.22010271460014674,0.7050623624358033,0.75,265.0,566.5625,1390.9375,1304.1875,14.125,269.75,364.375,0.11943202734683145,0.02742571653957402,0.11898363058881016,8.02244443860104,819.3851277341436,8.823770100302514,3.262676716417899,8.47248353293414,中央高地已观察,1.0,16,327,105.1875,工程、步兵3、步兵4,稳守反击
全国赛直通,北部赛区,长安大学,VGD,20,11,0.55,1255.0,62.75,0.00398406374501992,0.11952191235059761,0.8764940239043825,0.35,307.0,45.5,1355.25,996.5,24.8,341.1,251.55,0.07372106200420916,8.094544277157196e-05,0.02976358670057455,8.324878156872392,691.7114672290602,7.970108472553705,7.285171957040577,8.4396848021045,中央高地已观察,1.0,20,335,88.15,工程、步兵4、哨兵,稳守反击
复活赛,南部赛区,广东工业大学,DynamicX,20,11,0.55,14039.0,701.95,0.08825414915592279,0.34190469406652896,0.5698411567775482,0.9,292.0,625.65,1500.0,1110.05,23.55,405.05,138.75,0.10801421554925528,0.01122070039532005,0.09838199739631764,8.501376292776438,932.3467640957836,9.194225675352639,5.447524167561777,8.010688953488415,中央高地已观察,1.0,20,330,128.8,工程、步兵3、步兵4、哨兵,稳守反击、重前哨压制、飞镖磨基
复活赛,南部赛区,桂林电子科技大学,Evolution,17,7,0.4117647058823529,3629.0,213.47058823529412,0.007991182143841279,0.27555800496004407,0.7164508128961147,0.5882352941176471,222.0,461.05882352941177,1455.8823529411766,972.0,22.294117647058822,324.05882352941177,218.0,0.15513945394833586,0.009925984020391158,0.08415897961507801,9.555299397088438,1165.463404628647,7.399992418924612,9.257297533474253,9.934860668452963,中央高地已观察,1.0,17,313,132.41176470588235,英雄、工程、步兵3、步兵4,稳守反击
